model,dataset,label,legacy_source,paper_auc,baseline_auc,baseline_delta_auc_vs_paper,sisa_mean_auc,sisa_std_auc,sisa_min_auc,sisa_max_auc,sisa_range_auc,sisa_mean_delta_auc_vs_baseline,sisa_mean_delta_auc_vs_paper,auc_mean_beats_baseline,auc_mean_beats_paper,auc_all_seeds_beat_baseline,auc_all_seeds_beat_paper,paper_logloss,baseline_logloss,baseline_delta_logloss_vs_paper,sisa_mean_logloss,sisa_std_logloss,sisa_min_logloss,sisa_max_logloss,sisa_range_logloss,sisa_mean_delta_logloss_vs_baseline,sisa_mean_delta_logloss_vs_paper,logloss_mean_beats_baseline,logloss_mean_beats_paper,logloss_all_seeds_beat_baseline,logloss_all_seeds_beat_paper,sisa_20262027_auc,sisa_20262027_logloss,sisa_20262028_auc,sisa_20262028_logloss,sisa_20262029_auc,sisa_20262029_logloss
HyFormer,KuaiRand_Video_Action,is_forward,sisa_expansion_acd,0.8691,0.86964,0.0005399999999999849,0.8709600000000001,0.0020398362679392205,0.868786,0.872832,0.004046000000000105,0.0013200000000000989,0.0018600000000000838,True,True,False,False,0.0058,0.005816,1.600000000000039e-05,0.005704999999999999,0.00012952605915413326,0.005598,0.005849,0.00025100000000000035,-0.00011100000000000085,-9.500000000000047e-05,True,True,False,False,0.872832,0.005598,0.868786,0.005668,0.871262,0.005849
HyFormer,KuaiRand_Video_Action,is_like,sisa_expansion_acd,0.9215,0.922436,0.0009360000000000479,0.9256886666666667,0.0007018307013328332,0.925135,0.926478,0.001342999999999983,0.0032526666666666815,0.004188666666666729,True,True,True,True,0.0559,0.055706,-0.00019399999999999973,0.05515900000000001,0.0015222539210000426,0.05416,0.056911,0.0027510000000000034,-0.0005469999999999919,-0.0007409999999999917,True,True,False,False,0.925135,0.054406,0.925453,0.056911,0.926478,0.05416
HyFormer,KuaiRand_Video_Action,long_view,sisa_expansion_acd,0.7984,0.798512,0.00011200000000000099,0.8094610000000001,0.0029772401649850416,0.806051,0.811544,0.005493000000000081,0.010949000000000098,0.011061000000000099,True,True,True,True,0.4552,0.454605,-0.0005950000000000122,0.444162,0.001761643266952764,0.442765,0.446141,0.00337599999999999,-0.01044299999999998,-0.011037999999999992,True,True,True,True,0.810788,0.44358,0.806051,0.446141,0.811544,0.442765
HyFormer,MerRec_Action,Cart,sisa_expansion_acd,0.7986,0.798071,-0.0005290000000000017,0.811712,0.0018956078180889214,0.810189,0.813835,0.003645999999999927,0.013641000000000014,0.013112000000000013,True,True,True,True,0.0538,0.053872,7.200000000000262e-05,0.052387333333333334,7.765522090196881e-05,0.052342,0.052477,0.00013500000000000317,-0.0014846666666666689,-0.0014126666666666662,True,True,True,True,0.813835,0.052342,0.810189,0.052477,0.811112,0.052343
HyFormer,MerRec_Action,Checkout,sisa_expansion_acd,0.8514,0.848886,-0.0025140000000000162,0.8552863333333333,0.0018722353840618768,0.853285,0.856995,0.003709999999999991,0.00640033333333323,0.003886333333333214,True,True,True,True,0.0056,0.00552,-8.000000000000021e-05,0.005475666666666667,0.0005991196319044581,0.004954,0.00613,0.001176,-4.433333333333286e-05,-0.00012433333333333307,True,True,False,False,0.856995,0.005343,0.855579,0.004954,0.853285,0.00613
HyFormer,MerRec_Action,Like,sisa_expansion_acd,0.7361,0.73532,-0.0007800000000000029,0.7551493333333333,0.004192786702580154,0.750689,0.75901,0.008320999999999912,0.019829333333333365,0.019049333333333363,True,True,True,True,0.3341,0.334592,0.0004919999999999924,0.32698699999999997,0.004224872542456161,0.322929,0.331361,0.008431999999999995,-0.007605000000000028,-0.007113000000000036,True,True,True,True,0.75901,0.322929,0.750689,0.331361,0.755749,0.326671
HyFormer,MerRec_Action,Offer,sisa_expansion_acd,0.74,0.739902,-9.80000000000425e-05,0.7444606666666665,0.01215407361065964,0.731796,0.75603,0.024233999999999978,0.0045586666666666,0.004460666666666557,True,True,False,False,0.0219,0.021683,-0.00021699999999999844,0.021509666666666667,0.00040950498572463493,0.021099,0.021918,0.0008190000000000003,-0.00017333333333333437,-0.0003903333333333328,True,True,False,False,0.745556,0.021918,0.731796,0.021512,0.75603,0.021099
HyFormer,MerRec_Action,Purchase,sisa_expansion_acd,0.8475,0.846507,-0.0009930000000000216,0.856035,0.0007427698162957547,0.855258,0.856738,0.0014800000000000368,0.009527999999999981,0.00853499999999996,True,True,True,True,0.0037,0.003614,-8.600000000000014e-05,0.003499,0.0003633607023330949,0.003084,0.00376,0.000676,-0.00011500000000000008,-0.00020100000000000022,True,True,False,False,0.855258,0.003653,0.856109,0.003084,0.856738,0.00376
HyFormer,QK_Video_Action,click,sisa_expansion_acd,0.933,0.933053,5.299999999996974e-05,0.9343469999999999,0.00025749563103087545,0.934075,0.934587,0.0005119999999999569,0.0012939999999999063,0.001346999999999876,True,True,True,True,0.2529,0.252904,4.000000000004e-06,0.25050900000000004,0.00031178357878503335,0.250224,0.250842,0.0006180000000000074,-0.0023949999999999805,-0.0023909999999999765,True,True,True,True,0.934587,0.250224,0.934075,0.250842,0.934379,0.250461
HyFormer,QK_Video_Action,follow,sisa_expansion_acd,0.911,0.91174,0.0007399999999999629,0.912554,0.0009242256218045247,0.911898,0.913611,0.0017129999999999646,0.0008139999999999814,0.0015539999999999443,True,True,True,True,0.0052,0.005132,-6.799999999999948e-05,0.0051726666666666666,8.098353742170892e-05,0.005121,0.005266,0.00014500000000000016,4.066666666666628e-05,-2.7333333333333203e-05,False,True,False,False,0.911898,0.005131,0.913611,0.005121,0.912153,0.005266
